,Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %,market_impact(bp),market_impact(decimal),market_impact(dollar),net_return %
75,4,CAT,78.63,5224000,0.2017,24.49,0.14,7.57342259091,0.000757342259091,8648.92620934,0.0642657740909
76,4,CB,124.33,1223000,0.2069,24.12,0.1,21.2824217763,0.00212824217763,27692.0551159,-0.112824217763
77,4,CBG,37.97,2061000,0.2103,23.24,0.14,44.7513315663,0.00447513315663,66167.0456337,-0.307513315663
78,4,CBS,53.28,6561000,0.2214,23.9,0.12,13.8876491991,0.00138876491991,25115.2307953,-0.0188764919909
79,4,CCE,50.8,2210000,0.2038,23.17,0.1,42.3356847171,0.00423356847171,86153.5634935,-0.323356847171
80,4,CCI,81.91,2550000,0.1691,24.09,0.08,26.6947898582,0.00266947898582,68695.4907164,-0.186947898582
81,4,CCL,52.99,4036000,0.224,24.43,0.09,23.5230400411,0.00235230400411,45705.3726664,-0.145230400411
82,4,CELG,131.25,5468000,0.2824,25.21,0.17,6.86315996833,0.000686315996833,9778.37624226,0.101368400317
83,4,CERN,71.72,1652000,0.2176,23.73,0.14,42.7034144707,0.00427034144707,88956.2808874,-0.287034144707
84,4,CF,58.89,3777000,0.2457,23.09,0.12,12.2325505283,0.00122325505283,11478.6604631,-0.00232550528298
85,4,CHK,8.66,13378000,0.407,22.02,0.21,9.03202427861,0.000903202427861,2259.23329266,0.119679757214
86,4,CHRW,69.75,1680000,0.2149,23.01,0.15,26.5324498184,0.00265324498184,32953.5604499,-0.115324498184
87,4,CI,144.06,1834000,0.2384,24.27,0.14,9.66110017788,0.000966110017788,8423.41358455,0.0433889982212
88,4,CINF,55.21,566000,0.1412,23.03,0.06,232.059643909,0.0232059643909,1578535.64117,-2.26059643909
89,4,CL,68.02,3051000,0.1392,24.82,0.07,41.6942106823,0.00416942106823,194938.695229,-0.346942106823
90,4,CLX,111.94,1027000,0.1398,23.51,0.1,48.8917053897,0.00488917053897,150868.710974,-0.388917053897
91,4,CMA,47.43,1617000,0.2155,22.83,0.09,71.0657079262,0.00710657079262,169968.700405,-0.620657079262
92,4,CMCSA,62.41,13844000,0.1829,25.74,0.08,8.28098648584,0.000828098648584,23450.5062637,-0.00280986485844
93,4,CME,95.52,1635000,0.1867,24.21,0.14,23.6198362082,0.00236198362082,37549.4335679,-0.0961983620815
94,4,CMG,742.23,463000,0.27,23.61,0.15,9.2828834168,0.00092828834168,9292.1085761,0.057171165832
95,4,CMI,128.54,1495000,0.2062,23.59,0.1,29.1768078725,0.00291768078725,67466.1981131,-0.191768078725
96,4,CMS,33.97,2609000,0.1667,23.0,0.08,49.2851397931,0.00492851397931,105956.795832,-0.412851397931
97,4,CNP,19.09,3888000,0.1839,22.72,0.07,56.0484239053,0.00560484239053,109590.862664,-0.490484239053
98,4,CNX,16.51,2941000,0.3239,21.27,0.14,24.2041132019,0.00242041132019,8820.70403414,-0.102041132019
99,4,COF,80.9,2915000,0.1947,24.48,0.14,18.0059121292,0.00180059121292,31482.1945089,-0.040059121292
