Ticker,FileName,Date,total_num_of_words,positive_number,positive_percentage,negative_number,negative_percentage
KO,KO_3_2016_02_25,2016/2/25,9297,307,0.033021405,237,0.025492094
KO,KO_4_2015_02_25,2015/2/25,8352,260,0.031130268,208,0.024904215
KO,KO_5_2014_02_27,2014/2/27,7827,242,0.030918615,189,0.024147183
KO,KO_6_2013_02_27,2013/2/27,7311,216,0.029544522,180,0.024620435
KO,KO_7_2012_02_23,2012/2/23,7557,235,0.031096996,172,0.022760355
KO,KO_8_2011_02_28,2011/2/28,6993,209,0.02988703,164,0.023452023
KO,KO_9_2010_02_26,2010/2/26,5454,143,0.026219289,133,0.024385772
KO,KO_10_2009_02_26,2009/2/26,5454,143,0.026219289,133,0.024385772
KO,KO_11_2008_02_28,2008/2/28,4653,119,0.025574898,94,0.02020202
KO,KO_12_2007_02_21,2007/2/21,4031,105,0.026048127,94,0.023319276
KO,KO_13_2006_02_28,2006/2/28,3898,266,0.068240123,85,0.021806054
